course,outcome,relativeFolder,fileName,extension,dropboxPath,previewUrl,status
02_PHP,_old,_old/2_Connect PHP to the Database,2.4_Implementation of user authentication.docx,.docx,/junsan-info/02_PHP/02_docs/_old/2_Connect PHP to the Database/2.4_Implementation of user authentication.docx,https://www.dropbox.com/scl/fi/113zowqfqv23dbkfym5jb/2.4_Implementation-of-user-authentication.docx?rlkey=to7zy6nse1k47bj9xqfywwn4i&dl=0,ok
02_PHP,_old,_old/2_Connect PHP to the Database,2.4_Implementation of user authentication.pdf,.pdf,/junsan-info/02_PHP/02_docs/_old/2_Connect PHP to the Database/2.4_Implementation of user authentication.pdf,https://www.dropbox.com/scl/fi/8ddv4ng65ptxh9yi1xraz/2.4_Implementation-of-user-authentication.pdf?rlkey=3h5adgexuhusaqbldu06nqsnr&dl=0,ok
02_PHP,_old,_old/2nd,2.5_Implementation of user authentication.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/2nd/2.5_Implementation of user authentication.pptx,https://www.dropbox.com/scl/fi/prxc6487ber6rhsoepesd/2.5_Implementation-of-user-authentication.pptx?rlkey=09wvf53v4rhsutz6m7b0n7r5v&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,3_Setting up a database connection.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/3_Setting up a database connection.pptx,https://www.dropbox.com/scl/fi/0nytjgt4rh0jzx9111co1/3_Setting-up-a-database-connection.pptx?rlkey=cjy9olzok4459yvx0y7ac1wmi&dl=0,ok
02_PHP,_old,_old/2nd,3.1_CMS.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/2nd/3.1_CMS.pptx,https://www.dropbox.com/scl/fi/wohu44auv0wkno7t2crno/3.1_CMS.pptx?rlkey=oi5ez0pawbwfxojnmd5azyoba&dl=0,ok
02_PHP,_old,_old/2nd,3.2_Understanding the WordPress Structure.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/2nd/3.2_Understanding the WordPress Structure.pptx,https://www.dropbox.com/scl/fi/1dv1np99f1fybx90k41m6/3.2_Understanding-the-WordPress-Structure.pptx?rlkey=g247gp4yy5u5kzsjgy95l4et7&dl=0,ok
02_PHP,_old,_old/2nd,3.3_Working with Content.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/2nd/3.3_Working with Content.pptx,https://www.dropbox.com/scl/fi/q20s2lqyqegd2fssd1if2/3.3_Working-with-Content.pptx?rlkey=lx40rkgzo17ar1yshh433yfd2&dl=0,ok
02_PHP,_old,_old/2nd,"3.4_Plugins, Widgets, and Site Management.pptx",.pptx,"/junsan-info/02_PHP/02_docs/_old/2nd/3.4_Plugins, Widgets, and Site Management.pptx",https://www.dropbox.com/scl/fi/xbxvu47j2o6o9g5wz702w/3.4_Plugins-Widgets-and-Site-Management.pptx?rlkey=it1wpn0bweranm7dms1qkuaol&dl=0,ok
02_PHP,_old,_old/2nd,3.5_Creating own theme.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/2nd/3.5_Creating own theme.pptx,https://www.dropbox.com/scl/fi/r0huorunxw5efbq2o20s1/3.5_Creating-own-theme.pptx?rlkey=15vfenik64fo1cuo98lvsynnb&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,4_Routing.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/4_Routing.pptx,https://www.dropbox.com/scl/fi/rsn6prnfru2r828pj37x0/4_Routing.pptx?rlkey=w8p054orhubh5nd31nbrdga4k&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/_old,4_The use of a controller.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/_old/4_The use of a controller.pptx,https://www.dropbox.com/scl/fi/iatzga8fh4xy05irfeoij/4_The-use-of-a-controller.pptx?rlkey=9jyk3h988h57jtxpnkqlbn78h&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,5_ControllersModelsViews.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/5_ControllersModelsViews.pptx,https://www.dropbox.com/scl/fi/xv73gp7r83gx7bxrtc30q/5_ControllersModelsViews.pptx?rlkey=rxefyu3vhqd61uylpohtbuc4g&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/_old,5_Create&Update.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/_old/5_Create&Update.pptx,https://www.dropbox.com/scl/fi/ds7013oqb7nu1pn9cj8pf/5_Create-Update.pptx?rlkey=iqr6jzl5y1emx6wipgvnidzlg&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,6_CRUD.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/6_CRUD.pptx,https://www.dropbox.com/scl/fi/w0pl1r7bh0xdcyj8cxdfe/6_CRUD.pptx?rlkey=79crdx3rz397s6y5jl77w46fm&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,7_Breeze.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/7_Breeze.pptx,https://www.dropbox.com/scl/fi/fanuu7jubxf4l77pd8hit/7_Breeze.pptx?rlkey=ruzppodsxbvf1mojfcscui249&dl=0,ok
02_PHP,_old,_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde,8_MiniProject.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/4_Build a web app using MVC Framework (LARAVEL)/Laravel Balde/8_MiniProject.pptx,https://www.dropbox.com/scl/fi/nt7vu0hw4p65oxd2gzc6x/8_MiniProject.pptx?rlkey=ueuuf84nanj66lllysudl46rj&dl=0,ok
02_PHP,_old,_old/1st,241007_loop.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241007_loop.pptx,https://www.dropbox.com/scl/fi/xt1z3sj9hp1we5wf573gr/241007_loop.pptx?rlkey=4t9v4uodhc41kyws4fp0mnbz0&dl=0,ok
02_PHP,_old,_old/1st,241008_function.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241008_function.pptx,https://www.dropbox.com/scl/fi/ph1amp2nd74w629j8r14t/241008_function.pptx?rlkey=8odu5wmikgaq8cr5yn6t9srig&dl=0,ok
02_PHP,_old,_old/1st,241011_SuperGlobalvariables.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241011_SuperGlobalvariables.pptx,https://www.dropbox.com/scl/fi/qrv0wtr7zqqwhdj1qndfa/241011_SuperGlobalvariables.pptx?rlkey=dw2xvdjb3pz564aklnk3dkyf0&dl=0,ok
02_PHP,_old,_old/1st,241014_formHandling.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241014_formHandling.pptx,https://www.dropbox.com/scl/fi/9vbylcr3cwmo6ta7j2p0u/241014_formHandling.pptx?rlkey=zx5a6oafnm3lona74jhjjpm9p&dl=0,ok
02_PHP,_old,_old/1st,241015_CokiesSeccion.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241015_CokiesSeccion.pptx,https://www.dropbox.com/scl/fi/92n39g4gx2j8834yc654u/241015_CokiesSeccion.pptx?rlkey=nbe48tvvny92od8lhap7gmtjo&dl=0,ok
02_PHP,_old,_old/1st,241028_midtermReviews.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241028_midtermReviews.pptx,https://www.dropbox.com/scl/fi/x2bjjpgeejv5pr2rrrz0a/241028_midtermReviews.pptx?rlkey=h6cc4froplrecb17nyaqnaxcw&dl=0,ok
02_PHP,_old,_old/1st,241028_OOP.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241028_OOP.pptx,https://www.dropbox.com/scl/fi/14asnwssmia9iej2j9yjo/241028_OOP.pptx?rlkey=d98fi1zu3qsinnkeoibgz22j9&dl=0,ok
02_PHP,_old,_old/1st,241104_MySQL.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241104_MySQL.pptx,https://www.dropbox.com/scl/fi/i5qtc64ai7qxvq7p6d1ft/241104_MySQL.pptx?rlkey=18yr9d7xrcliqpte5jft0k8fb&dl=0,ok
02_PHP,_old,_old/1st,241104_MySQLwithPHP Connect.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241104_MySQLwithPHP Connect.pptx,https://www.dropbox.com/scl/fi/a0h07oqgspcvulzia9zwd/241104_MySQLwithPHP-Connect.pptx?rlkey=3442k49d3sdtjepq9p9y0elj7&dl=0,ok
02_PHP,_old,_old/1st,241108_MySQLwithPHP CRUD.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241108_MySQLwithPHP CRUD.pptx,https://www.dropbox.com/scl/fi/frhxjsrhctkhos31qcabt/241108_MySQLwithPHP-CRUD.pptx?rlkey=sez3lf8c2fxlkx7e74akccvuv&dl=0,ok
02_PHP,_old,_old/1st,241118_MySQLwithPHPCRUD_mysqli.pptx,.pptx,/junsan-info/02_PHP/02_docs/_old/1st/241118_MySQLwithPHPCRUD_mysqli.pptx,https://www.dropbox.com/scl/fi/h7anuupw1m493e39pgz59/241118_MySQLwithPHPCRUD_mysqli.pptx?rlkey=grvbh7urocj8us7p5ixnopvfu&dl=0,ok
02_PHP,_old,_old/2nd,Exercise01_authentication.docx,.docx,/junsan-info/02_PHP/02_docs/_old/2nd/Exercise01_authentication.docx,https://www.dropbox.com/scl/fi/lgun5inw6flf13z4qpmep/Exercise01_authentication.docx?rlkey=7e97a1xpvjpvbu3bbvi1efg95&dl=0,ok
02_PHP,_old,_old/2nd,Exercise01_authentication.pdf,.pdf,/junsan-info/02_PHP/02_docs/_old/2nd/Exercise01_authentication.pdf,https://www.dropbox.com/scl/fi/5n20f13zi0yympyace542/Exercise01_authentication.pdf?rlkey=wep9hp6kvhlzmhlcsdxtw3ob3&dl=0,ok
02_PHP,_old,_old,LaravelNotes.docx,.docx,/junsan-info/02_PHP/02_docs/_old/LaravelNotes.docx,https://www.dropbox.com/scl/fi/p7vgcgo45h1e3e4cgvzft/LaravelNotes.docx?rlkey=raoyvii2owcuuhv1bxqbw17t5&dl=0,ok
02_PHP,_old,_old,LaravelNotes.pdf,.pdf,/junsan-info/02_PHP/02_docs/_old/LaravelNotes.pdf,https://www.dropbox.com/scl/fi/7ryxjomeky91fnmwwwe0k/LaravelNotes.pdf?rlkey=b5ciidlrzdnv7112ezs0v0lxn&dl=0,ok
